Epoch,Symptom,Precision,Recall,F1,AUROC
1,pain,0.0,0.0,0.0,0.8142857142857143
1,fever,0.6,0.6,0.6,0.7428571428571429
1,cough,0.2857142857142857,0.6666666666666666,0.4,0.6041666666666666
1,seizure,0.3333333333333333,0.5,0.4,0.4411764705882353
1,confusion,0.75,0.75,0.75,0.8333333333333333
2,pain,0.0,0.0,0.0,0.8571428571428571
2,fever,0.6666666666666666,0.8,0.7272727272727273,0.8142857142857143
2,cough,0.14285714285714285,0.3333333333333333,0.2,0.5833333333333333
2,seizure,0.0,0.0,0.0,0.7352941176470589
2,confusion,0.75,0.75,0.75,0.8500000000000001
3,pain,0.6666666666666666,0.4,0.5,0.8714285714285714
3,fever,0.5714285714285714,0.8,0.6666666666666666,0.8999999999999999
3,cough,0.2,0.3333333333333333,0.25,0.6875
3,seizure,0.0,0.0,0.0,0.9705882352941176
3,confusion,0.75,0.75,0.75,0.8833333333333333
4,pain,0.6,0.6,0.6,0.8714285714285713
4,fever,0.5714285714285714,0.8,0.6666666666666666,0.9142857142857143
4,cough,0.0,0.0,0.0,0.7291666666666666
4,seizure,1.0,0.5,0.6666666666666666,1.0
4,confusion,1.0,0.75,0.8571428571428571,0.8833333333333333
5,pain,0.6,0.6,0.6,0.8714285714285713
5,fever,0.8,0.8,0.8,0.9571428571428572
5,cough,0.0,0.0,0.0,0.75
5,seizure,1.0,1.0,1.0,1.0
5,confusion,1.0,0.75,0.8571428571428571,0.8833333333333333
6,pain,0.6,0.6,0.6,0.8714285714285713
6,fever,0.8,0.8,0.8,0.9714285714285714
6,cough,0.0,0.0,0.0,0.75
6,seizure,1.0,1.0,1.0,1.0
6,confusion,1.0,0.75,0.8571428571428571,0.8666666666666667
7,pain,0.6,0.6,0.6,0.8857142857142857
7,fever,0.8333333333333334,1.0,0.9090909090909091,0.9857142857142858
7,cough,0.0,0.0,0.0,0.7708333333333334
7,seizure,1.0,1.0,1.0,1.0
7,confusion,1.0,0.75,0.8571428571428571,0.8833333333333333
8,pain,0.6,0.6,0.6,0.8999999999999999
8,fever,0.8333333333333334,1.0,0.9090909090909091,0.9857142857142858
8,cough,0.0,0.0,0.0,0.7916666666666666
8,seizure,1.0,1.0,1.0,1.0
8,confusion,1.0,0.75,0.8571428571428571,0.8833333333333333
9,pain,0.6,0.6,0.6,0.8857142857142857
9,fever,0.8333333333333334,1.0,0.9090909090909091,0.9857142857142858
9,cough,0.0,0.0,0.0,0.7916666666666666
9,seizure,1.0,1.0,1.0,1.0
9,confusion,1.0,0.75,0.8571428571428571,0.8833333333333333
10,pain,0.6,0.6,0.6,0.8857142857142857
10,fever,0.8333333333333334,1.0,0.9090909090909091,1.0
10,cough,0.0,0.0,0.0,0.8125
10,seizure,1.0,1.0,1.0,1.0
10,confusion,1.0,0.75,0.8571428571428571,0.8833333333333333
